"name","prompt","negative_prompt","description","category"
"ATMOSPHERE_Petal_Storm","(petal storm:1.2), intense petal shower, swirling petals, dramatic petal wind, petals flying in all directions","still, calm, winter","Dramatic petal storm. Combos: ACTIVITY_Fighting_Pose; LIGHTING_Dramatic_Shadow; SCENE_Cherry_Blossom_Path; MOOD_Fierce.","ATMOSPHERE"
"ATMOSPHERE_Sandstorm","(sandstorm:1.3), desert sand storm, orange dust cloud, blinding sand, desert wind, dust devil, sand wall approaching","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Desert sandstorm atmosphere. Combos: SCENE_Desert_Oasis; SCENE_Silk_Road_Caravan.","ATMOSPHERE"
"ATMOSPHERE_Season_Autumn_Leaves","autumn season, falling leaves, orange red leaves, autumn colors, leaf-covered ground, warm autumn tones","spring, summer, snow","Autumn atmosphere. Combos: ACTIVITY_Reading; MOOD_Melancholic; LIGHTING_Golden_Hour_Sunset.","ATMOSPHERE"
"ATMOSPHERE_Season_Spring_Cherry","spring season, cherry blossoms, sakura petals, pink flowers, blooming trees, gentle spring breeze, sakura falling","winter, snow, autumn leaves","Cherry blossom spring. Combos: OUTFIT_Traditional_Japanese; LIGHTING_Soft_Warm; MOOD_Serene. Universal BODY.","ATMOSPHERE"
"ATMOSPHERE_Season_Summer_Beach","summer season, bright sun, warm weather, blue sky, summer heat haze, vibrant colors, clear skies","winter, autumn, rain","Bright summer. Combos: SCENE_Beach; OUTFIT_Swimwear; LIGHTING_Golden_Hour_Sunset.","ATMOSPHERE"
"ATMOSPHERE_Season_Winter_Snow","winter season, snow, snowflakes, frost, icy breath visible, winter cold, white landscape, snow-covered ground","summer, beach, tropical","Winter aesthetic. Combos: OUTFIT_Winter_Coat; ACCESSORY_Scarf; SCENE_Hot_Spring.","ATMOSPHERE"
"ATMOSPHERE_Shooting_Stars","(shooting stars:1.2), meteor shower, falling stars, star trails, wish-making stars, night sky streaks","daytime, indoor, urban","Shooting stars/meteor shower. Combos: SCENE_Mountain_Top; SCENE_Rooftop_Night; LIGHTING_Starlight; MOOD_Wonder.","ATMOSPHERE"
"ATMOSPHERE_Smoke_Haze_Industrial","(industrial smoke:1.2), factory haze, pollution haze, thick smoke atmosphere, smoggy sky, industrial atmosphere, smoke plumes","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Industrial smoke haze. Combos: SCENE_Post_Nuclear_Wasteland; THEME_SciFi_Post_Apocalyptic.","ATMOSPHERE"
"ATMOSPHERE_Soap_Bubbles","(soap bubbles:1.2), floating bubbles, shimmering bubbles, iridescent bubbles, playful bubbles, magical bubble effect","dark, gritty, battle","Floating soap bubbles. Combos: ARCHETYPE_Magical_Girl; MOOD_Playful; MOOD_Wonder.","ATMOSPHERE"
"ATMOSPHERE_Spores_Floating","(floating spores:1.2), bioluminescent spores, particle spores, forest spores, magical dust particles, glowing floating particles","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Floating spore particles. Combos: SCENE_Enchanted_Grove; SCENE_Overgrown_Asylum.","ATMOSPHERE"
"ATMOSPHERE_Steam_Mist","(rising steam:1.2), steam mist, hot steam rising, thermal mist, steam atmosphere, warm vapor rising","cold, outdoor action, dry","Rising steam/thermal mist. Combos: SCENE_Hot_Spring; SCENE_Bathhouse_Traditional; LIGHTING_Soft_Warm; MOOD_Serene.","ATMOSPHERE"
"ATMOSPHERE_Time_Blue_Hour","blue hour, twilight, dusk, deep blue sky, transition from day to night, indigo atmosphere, purple twilight","bright midday, harsh sun","Twilight blue. Combos: SCENE_Cyberpunk_City; MOOD_Melancholic; LIGHTING_Neon_Purple_Pink.","ATMOSPHERE"
"ATMOSPHERE_Time_Dawn","dawn, early morning light, first light, pale sky, sunrise beginning, soft pink and orange horizon, morning mist","night, dark, midnight","Dawn atmosphere. Combos: MOOD_Serene; SCENE_Mountain_Top; ACTIVITY_Gazing_Horizon.","ATMOSPHERE"
"ATMOSPHERE_Time_Golden_Hour","golden hour, warm afternoon light, long golden shadows, warm glow, magic hour, late afternoon sun","night, overcast, cold","Golden hour. Combos: SCENE_Beach; SCENE_Mountain_Top; LIGHTING_Golden_Hour_Sunset.","ATMOSPHERE"
"ATMOSPHERE_Time_Midnight","midnight, deep night, starry sky, full darkness, night atmosphere, moonlit shadows, nocturnal","daytime, sunrise, bright","Deep night. Combos: ARCHETYPE_Witch; ARCHETYPE_Vampire; LIGHTING_Night_Moonlit.","ATMOSPHERE"
"ATMOSPHERE_Weather_Dense_Fog","(dense fog:1.3), thick mist, foggy atmosphere, obscured background, misty air, fog rolling in, visibility reduced","clear, bright, sharp background","Dense fog for mystery. Combos: SCENE_Forest_Outdoor; MOOD_Mysterious; LIGHTING_Dim_Dark.","ATMOSPHERE"
"ATMOSPHERE_Weather_Gentle_Rain","(gentle rain:1.2), light drizzle, rain drops, soft rain, wet pavement, grey sky, peaceful rain","dry, sunny","Peaceful rainy atmosphere. Combos: MOOD_Melancholic; ACTIVITY_Reading; SCENE_Cafe.","ATMOSPHERE"
"ATMOSPHERE_Weather_Heavy_Rain","(heavy rain:1.3), pouring rain, rain streaks, wet everything, splashing puddles, rain-soaked, rain on surface","dry, sunny, clear sky","Heavy rain atmosphere. Combos: SCENE_Cyberpunk_City; LIGHTING_Neon_Purple_Pink; MOOD_Melancholic.","ATMOSPHERE"
"ATMOSPHERE_Weather_Snowstorm","(snowstorm:1.2), blizzard, heavy snowfall, snow swirling, white-out conditions, blowing snow, icy wind","sunny, warm, clear","Blizzard intensity. Combos: SEASON_Winter_Snow; OUTFIT_Winter_Coat; MOOD_Fierce. Conflicts: WEATHER_Heavy_Rain.","ATMOSPHERE"
"ATMOSPHERE_Weather_Windy","(strong wind:1.2), wind effect, wind blowing hair, fabric in wind, leaves swirling, dynamic wind, gusts","still, calm, no movement","Wind dynamics. Combos: ACTIVITY_Gazing_Horizon; SEASON_Autumn_Leaves; ARCHETYPE_Kunoichi. Adds life to any static scene.","ATMOSPHERE"
"BODY_Albino","(albino features:1.2), white hair natural, pale skin, pink eyes, albino coloring, platinum white natural hair","tan, dark skin, colored hair","Albino character features. Combos: HAIR_White_Silver; LIGHTING_Dramatic_Shadow; RACE_Vampire (adjacent).","BODY"
"BODY_Androgynous","1girl, androgynous, (androgynous features:1.2), gender-ambiguous, soft masculine features, neutral body, slim androgynous figure, boyish feminine","obviously feminine, curvy, busty","Androgynous body type. Combos: HAIR_Short_Bob; OUTFIT_Streetwear; MOOD_Mysterious. Unique character type.","BODY"
"BODY_Athletic_Runner","(runner's physique:1.2), lean athletic build, distance runner body, slim muscle, endurance athlete, toned legs","heavy muscle, BBW, frail","Lean runner's body type. Combos: OUTFIT_Sportswear; ACTIVITY_Running; ACTIVITY_Stretching; MOOD_Focused.","BODY"
"BODY_Battle_Scars","1girl, battle scars, scar on face, warrior scars, healed wound scars, tough survivor look","flawless skin, no marks, pristine","Battle-worn scars. Combos: ARCHETYPE_Warrior; ARCHETYPE_Kunoichi; MOOD_Fierce.","BODY"
"BODY_Chubby_Soft","(soft chubby body:1.2), pleasantly plump, round soft body, chubby cute, soft pudge, comfortable chubby","muscular, slim, skeletal","Soft chubby body type. Combos: MOOD_Playful; CLOTHES_Hoodie_Oversized; ARCHETYPE_Chef.","BODY"
"BODY_Creature_Beast","creature, beast form, (monstrous body:1.2), non-human proportions, claws, scales or fur, beast physique, monster body, creature design","human, humanoid, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Non-human creature/beast body. For full monster designs. Combos: THEME_Horror_*; THEME_Fantasy_Adventure.","BODY"
"BODY_Dark_Skin","(dark skin:1.2), deep brown skin, ebony skin, dark complexion, melanin-rich skin","pale skin, albino, light skin","Dark skin complexion. Combos: ARCHETYPE_Warrior; RACE_Orc_Female; OUTFIT_Traditional_Indian; ARCHETYPE_Belly_Dancer.","BODY"
"BODY_Elderly","1person, elderly, (aged face:1.2), wrinkles, grey hair, weathered skin, wise elder, old person, experienced face, age lines","young, smooth skin, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Elderly character. Gender-neutral. Combos: ARCHETYPE_Male_Scholar; MOOD_Serene; SCENE_Library.","BODY"
"BODY_Freckles","1girl, freckles, freckled skin, natural skin, sun freckles, light freckles across nose and cheeks","perfect skin, flawless, no marks","Natural freckles. Combos: any BODY type; SEASON_Summer_Beach; HAIR_Colorful_Dye.","BODY"
"BODY_Hourglass_Perfect","1girl, hourglass figure, perfect proportions, slim waist, wide hips, long legs, graceful build, toned","deformed body, bad proportions, overweight, chubby, male, boy","Ideal proportions. Combos: OUTFIT_Evening_Dress; MOOD_Elegant; CAMERA_Full_Body. Conflicts: BODY_BBW.","BODY"
"BODY_Male_Average","1boy, male, average male build, normal physique, everyday man, regular body type, masculine features, realistic male proportions","female, feminine, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Standard male body type. Universal male character base. Combos: any ARCHETYPE male.","BODY"
"BODY_Male_Muscular","1boy, male, (muscular male:1.3), defined muscles, broad shoulders, athletic build, strong physique, gym body, masculine power","female, thin, slim, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Muscular male body. Combos: ARCHETYPE_Male_Warrior; ARCHETYPE_Gladiator; MOOD_Fierce.","BODY"
"BODY_Male_Slim_Lean","1boy, male, slim male, lean build, slender physique, elegant male frame, narrow shoulders, boyish figure, lithe male","female, muscular, bulky, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Slim/lean male body. Combos: ARCHETYPE_Male_Rogue; ARCHETYPE_Bard; MOOD_Mysterious.","BODY"
"BODY_Male_Stocky","1boy, male, stocky build, broad and solid, dwarf-like proportions, compact powerful frame, barrel chest, sturdy male","female, thin, slim, tall, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Stocky/compact male body. Combos: ARCHETYPE_Male_Blacksmith; RACE_Dwarf_Male.","BODY"
"BODY_Mature_Woman","1girl, mature female, adult woman, (mature face:1.2), elegant mature beauty, refined features, womanly figure","child, young, teenage, loli, chibi, male, boy, underage","Clearly adult mature woman. Combos: OUTFIT_Business_Suit; MOOD_Confident; ARCHETYPE_Office_Lady. Conflicts: any youthful archetypes.","BODY"
"BODY_Muscular_Fit","1girl, athletic body, toned, (defined muscles:1.2), fit, strong arms, abs, muscular legs, powerful build","weak, frail, chubby, overweight, petite, male, boy","Athletic muscular build. Combos: ARCHETYPE_Kunoichi; OUTFIT_Sportswear; ACTIVITY_Fighting_Pose. Conflicts: BODY_Petite_Small.","BODY"
"BODY_Pear_Shaped","1girl, pear body shape, (wide hips:1.3), narrow shoulders, bottom-heavy figure, wider lower body, slimmer upper body, natural pear silhouette","inverted triangle, broad shoulders, uniform","Pear body shape. Combos: OUTFIT_Evening_Dress; BODY_Thicc_Voluptuous (for overlap). Real body diversity.","BODY"
"BODY_Petite_Small","1girl, petite, small frame, delicate body, slim, tiny waist, short stature, slender limbs, dainty","muscular, tall, wide hips, thick thighs, voluptuous, male, boy","Small delicate frame. Combos: ARCHETYPE_Idol; OUTFIT_School_Uniform; MOOD_Shy. Conflicts: BODY_Thicc_Voluptuous; BODY_Muscular_Fit.","BODY"
"BODY_Slim_Toned","(slim toned body:1.2), lean toned, slender athletic, defined slim, light muscle definition, graceful physique","heavy muscle, BBW, chubby","Slim but toned physique. Combos: ARCHETYPE_Kunoichi; ARCHETYPE_Assassin; ACTIVITY_Stretching; OUTFIT_Sportswear.","BODY"
"BODY_Superhero_Build","1person, superhero physique, (impossibly muscular:1.2), heroic build, comic book proportions, cape ready, power stance, chiseled features","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Superhero body type. Combos: STYLE_Comic_Book_Western; CHARACTER_Portrait_Heroic; THEME_Action_Thriller.","BODY"
"BODY_Tall_Elegant","1girl, tall, long legs, statuesque, lean figure, elegant build, long neck, refined posture, model proportions","short, stubby, chibi, petite, male, boy","Tall model-like build. Combos: MOOD_Elegant; OUTFIT_Evening_Dress; CAMERA_Full_Body. Conflicts: BODY_Petite_Small.","BODY"
"BODY_Thicc_Voluptuous","1girl, voluptuous, thick thighs, wide hips, (curvy body:1.3), plump, soft body, hourglass figure, meaty thighs, smooth skin","skinny, thin, slender, petite, flat chest, narrow hips, bony, male, boy","Thick curvy body. Combos: ARCHETYPE_Bunny_Girl; OUTFIT_Swimwear; ACTIVITY_Dancing. Conflicts: BODY_Petite_Small.","BODY"
"BODY_Vitiligo","(vitiligo:1.2), vitiligo skin pattern, two-tone skin, pigmentation patches, vitiligo markings, natural skin contrast","uniform skin, clean, no markings","Vitiligo skin pattern. Combos: LIGHTING_Studio_Three_Point (shows detail). Unique visual identity.","BODY"
"CAMERA_Behind_Glass","(through glass view:1.3), (behind glass:1.2), shot through window glass, reflections on glass, glass distortion, condensation on glass","no glass, open space, direct view","Shooting through glass — windows, doors, reflections. Combos: SCENE_* urban interior; LIGHTING_Screen_Glow; MOOD_Mysterious.","CAMERA"
"CAMERA_Bird_Eye","(bird's eye view:1.2), directly overhead, top-down view, aerial overhead, straight down camera","ground level, from below, eye level","Directly overhead bird's-eye view. Combos: SCENE_Rooftop_Garden; ACTIVITY_Swimming; POSE_Lying_Down.","CAMERA"
"CAMERA_Comp_Diagonal","(diagonal composition:1.2), dynamic diagonal lines, leading lines, angular layout, energetic framing","static, centered, symmetrical","Dynamic diagonals for energy. Combos: ACTIVITY_Running; ACTIVITY_Fighting_Pose; MOOD_Fierce.","CAMERA"
"CAMERA_Comp_Dutch_Angle","dutch angle, tilted camera, diagonal composition, dynamic tilt","flat angle, boring composition","Tilted camera for tension/unease. Combos: MOOD_Fierce; SCENE_Gothic_Castle; ACTION scenes. Conflicts: COMPOSITION_Symmetry.","CAMERA"
"CAMERA_Comp_Framing","(framed composition:1.3), subject framed by doorway, window frame, arch, foreground framing element, frame within frame","open composition, no framing","Frame-within-frame technique. Combos: SCENE_Gothic_Castle; SCENE_Library; LIGHTING_Volumetric_Rays.","CAMERA"
"CAMERA_Comp_Negative_Space","(negative space:1.3), subject isolated, empty space dominant, minimalist composition, breathing room, vast emptiness around subject","cluttered, crowded frame, busy background","Minimalist negative space. Combos: MOOD_Melancholic; ACTIVITY_Gazing_Horizon; STYLE_Concept_Art.","CAMERA"
"CAMERA_Comp_Symmetry","(symmetrical composition:1.2), centered subject, perfect symmetry, mirrored layout, Wes Anderson style","asymmetrical, dynamic","Wes Anderson-style symmetry. Combos: MOOD_Elegant; SCENE_Ballroom; ARCHETYPE_Demon_Queen. Conflicts: COMPOSITION_Dutch_Angle.","CAMERA"
"CAMERA_Drone_High","(high drone shot:1.2), elevated aerial view, drone altitude, wide aerial, landscape from above","close up, face, ground level","High aerial drone shot. Combos: SCENE_Cherry_Blossom_Path; SCENE_Countryside_Field; SCENE_Mountain_Top.","CAMERA"
"CAMERA_Dutch_Angle","(dutch angle:1.3), (tilted camera:1.2), canted framing, rotated frame, diagonal horizon, slanted perspective, dramatic tilt","straight horizon, level camera, flat angle","Dutch angle — tilted horizon for tension or energy. Combos: STYLE_Dark_Fantasy; STYLE_Noir_BW; MOOD_Fierce; CAMERA_Comp_Dutch_Angle (similar intent).","CAMERA"
"CAMERA_Extreme_Closeup","extreme close-up, macro shot, eye detail, face detail extreme, skin texture close, eyes filling frame, ultra tight crop","wide, full body, establishing","Extreme facial macro. Combos: EXPRESSION styles; VFX_Bokeh; LIGHTING_Studio_Three_Point. More intimate than Face_Close.","CAMERA"
"CAMERA_Extreme_Closeup_Face","(extreme close-up face:1.3), (face filling frame:1.2), pores visible, breath condensation, skin texture detail, face inches from lens, intimate proximity, ultra close portrait","full body, wide shot, distant, camera visible in frame","Extreme face macro — face fills frame. Combos: EXPRESSION_*; CAMERA_Face_Close; CAMERA_Extreme_Closeup; VFX_Bokeh.","CAMERA"
"CAMERA_Face_Close","face focus, close-up portrait, facial close up, head shot, face only, expression focus","full body, wide shot, distant","Face portrait. Combos: EXPRESSION styles; MOOD styles; HAIR styles. Best for emotion showcase.","CAMERA"
"CAMERA_First_Person_Hands","(first person hands in frame:1.3), (hands visible in POV:1.2), own hands visible in shot, first person body visible, self-view hands, POV with hands showing","no hands visible, pure POV no limbs, third person","First-person framing with own hands visible. Combos: CAMERA_POV; ACTIVITY_Cooking; ACTIVITY_Gaming; SCENE_* hands-on scenes.","CAMERA"
"CAMERA_Fisheye","fisheye lens, extreme wide angle, barrel distortion, 180 degree view, fisheye distortion, ultra wide fisheye perspective","telephoto, compressed, standard lens, fish, dead fish, fish eye, fish face, fish eye literal","Fisheye distortion. Combos: COMPOSITION_Dutch_Angle; SCENE_Cyberpunk_City; DYNAMICS_Motion_Blur. Edgy dynamic look.","CAMERA"
"CAMERA_From_Above","high angle shot, bird's eye view, from above, looking down perspective, overhead angle","from below, extremely low angle, bird, birds, bird in frame","Overhead angle. Combos: ACTIVITY_Sitting_Relaxed; MOOD_Shy; cozy scenes.","CAMERA"
"CAMERA_From_Below","from below, low angle, upward view, looking up, (extremely low angle shot:1.3), (upward perspective:1.2), ground level view, subject looming above, upward angle","worm, earthworm, bird, from above, downward angle","Dynamic upward angle. Combos: ARCHETYPE_Demon_Queen; MOOD_Confident; BODY_Tall_Elegant.","CAMERA"
"CAMERA_Front_View","front view, (facing viewer:1.3), (straight on angle:1.2), direct facing angle, full frontal view, character facing camera, looking at viewer, face forward","side view, profile view, from behind, rear view, dutch angle, three quarter angle, looking away, back turned","Direct frontal camera angle — character faces the viewer straight on. Most neutral and universal framing. Combos: POSE_Missionary; POSE_Standing_Sex; CAMERA_Full_Body; CAMERA_Face_Close (zoom variant). Conflicts: CAMERA_Side_Profile; CAMERA_Ass_Focus; CAMERA_Over_Shoulder; CAMERA_Looking_Back.","CAMERA"
"CAMERA_Full_Body","full body shot, full body view, head to toe, complete figure visible","close up, face only, cropped","Full body composition. Combos: ACTIVITY_Dancing; OUTFIT styles; POSE styles. Best for outfit showcases.","CAMERA"
"CAMERA_Letterbox","cinematic letterbox, widescreen black bars, 2.39:1 aspect crop, cinemascope format, cinematic aspect ratio, anamorphic widescreen","square, portrait, standard","Cinematic letterbox bars. Combos: VFX_Lens_Flare; PALETTE_Teal_Orange; STYLE_Concept_Art. Instant film feel. Good for wallpaper crops.","CAMERA"
"CAMERA_Looking_Back","(looking back:1.3), (looking back at viewer:1.2), turned head, glancing over shoulder, backward glance, head turned to look behind, rear-facing head turn","facing forward, front view, looking away from viewer","Subject glances back toward viewer over shoulder. Combos: POSE_Back_To_Camera; CAMERA_Over_Shoulder; CAMERA_Three_Quarter; OUTFIT_*.","CAMERA"
"CAMERA_Macro_Detail","(extreme macro:1.2), ultra close up detail, macro photography, tiny detail enlarged, texture macro","full body, wide, establishing","Macro/extreme detail closeup. Combos: VFX_Bokeh; LIGHTING_Studio_Three_Point; ACCESSORY_Jewelry_Elegant.","CAMERA"
"CAMERA_Over_Shoulder","(over shoulder perspective:1.3), (behind shoulder angle:1.2), looking over character shoulder, shoulder in foreground, depth framing through shoulder, conversation angle","camera visible, front facing, no shoulder in frame","Over-shoulder cinematic. Combos: SCENE styles; ACTIVITY_Gazing_Horizon; MOOD_Melancholic.","CAMERA"
"CAMERA_POV","POV, (first person view:1.3), from viewer perspective, viewer POV, your POV, seen from viewer, POV angle, looking at viewer","third person, side view, distant","First-person viewpoint framing. Combos: SCENE_*; CAMERA_First_Person_Hands; immersive character perspective.","CAMERA"
"CAMERA_Reflection_Mirror","(mirror reflection shot:1.3), (reflected in mirror:1.2), character seen in mirror, dual view via mirror, mirror doubles the scene, reflection adds second angle","no mirror, no reflection, single view","Mirror reflection — dual angle in one frame. Combos: SCENE_Bathroom; SCENE_Bedroom; OUTFIT_*; CAMERA_Face_Close.","CAMERA"
"CAMERA_Side_Profile","side profile, profile view, lateral view, 90 degree angle, silhouette angle","frontal, from below","Profile view. Combos: LIGHTING_Backlit_Silhouette; HAIR styles; OUTFIT styles. Great for silhouettes.","CAMERA"
"CAMERA_Three_Quarter","three-quarter view, 3/4 angle, upper body, waist up, classic portrait angle","full body, extreme close up","Classic portrait framing. Most versatile camera angle. Works with all content.","CAMERA"
"CAMERA_Tilt_Shift","tilt shift effect, miniature effect, selective focus tilt shift, toy world look, narrow band focus, blur above and below focus","full focus, standard, no blur","Tilt-shift miniature effect. Combos: SCENE_Cyberpunk_City; CAMERA_From_Above; STYLE_Detailed_Realistic. Makes scenes look like toy models.","CAMERA"
"CAMERA_Viewfinder_Rec","(recording aesthetic:1.2), REC indicator overlay, viewfinder framing overlay, battery indicator, filming aesthetic, documentary style framing, (photo session framing:1.1)","camera object in scene, filming equipment visible, person holding camera","Recording/viewfinder UI overlay — REC, battery, filming interface. Combos: STYLE_Found_Footage; documentary vibe; SCENE_* live event.","CAMERA"
"CAMERA_Wide_Establishing","wide shot, establishing shot, character in environment, full scene visible, environment focus, panoramic","close up, face focus, portrait","Full environment shot. Combos: SCENE styles; SEASON styles. Best for wallpaper compositions.","CAMERA"
"CAMERA_Worm_Eye","(worm's eye view:1.2), extreme low angle, looking straight up, ground-level up, upward tilt extreme","from above, eye level, bird eye","Extreme low worm's-eye angle. Combos: ARCHETYPE_Demon_Queen; POSE_Heroic_Standing; MOOD_Predatory; LIGHTING_Underlighting.","CAMERA"
"CHARACTER_Action_Shot","(dynamic action pose:1.2), mid-action, motion, speed lines, kinetic energy, action scene, dynamic angle, character in motion","static, standing still, boring pose, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Dynamic action framing. Combos: EFFECTS_Motion_Blur; THEME_Action_Thriller.","CHARACTER"
"CHARACTER_Back_View_Dramatic","back view character, (seen from behind:1.2), character facing away, dramatic back shot, looking into distance, cape flowing, back to viewer","facing camera, front view, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Dramatic back-facing character shot. Combos: SCENE_*; LIGHTING_Volumetric_Rays; ATMOSPHERE_*.","CHARACTER"
"CHARACTER_Bust_Detailed","detailed bust portrait, upper body focus, (detailed face:1.2), (detailed clothing:1.2), character design, waist up, clear character features","full body, background heavy, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Clean bust shot for character design showcase. Great for concept art. Combos: FORMAT_Character_Sheet.","CHARACTER"
"CHARACTER_Concept_Art_Reference","concept art character, (character design reference:1.2), clean lines, clear design, multiple angles hint, design sheet aesthetic, professional character design","messy, unclear, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Concept art/design reference framing. Combos: FORMAT_Character_Sheet; STYLE_Concept_Art.","CHARACTER"
"CHARACTER_Expression_Sheet","expression sheet, multiple expressions, character expressions, emotion range, same character different moods, facial expression reference, expression study","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Expression reference sheet. Best with FORMAT_Character_Sheet. Combos: STYLE_Concept_Art.","CHARACTER"
"CHARACTER_Group_Shot","group of characters, ensemble cast, multiple characters, group pose, character lineup, team shot, diverse group, group dynamic","single character, solo, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Group/ensemble framing. Combos: SCENE_*; THEME_Fantasy_Adventure.","CHARACTER"
"CHARACTER_Portrait_Heroic","heroic portrait, (hero shot:1.2), dramatic framing, character close-up, strong jaw, confident gaze, epic lighting, cinematic portrait","timid, weak pose, background clutter, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Strong heroic character portrait. Combos: LIGHTING_Dramatic_Shadow; MOOD_Confident; EXPRESSION_Determined.","CHARACTER"
"CHARACTER_Portrait_Mysterious","mysterious character portrait, partial shadow on face, enigmatic expression, half-lit face, obscured details, intrigue, cinematic","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Half-lit mysterious portrait. Works with any character type. Combos: LIGHTING_Dramatic_Shadow; MOOD_Mysterious.","CHARACTER"
"CHARACTER_Portrait_Villain","villain portrait, (menacing expression:1.2), dramatic shadow, sinister gaze, dark aesthetic, intimidating presence, character close-up, evil smirk","friendly, cheerful, bright lighting, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Villain character portrait. Combos: LIGHTING_Dim_Dark; MOOD_Mysterious; THEME_Horror_Psychological.","CHARACTER"
"CHARACTER_Silhouette_Dramatic","(dramatic silhouette:1.3), character silhouette, backlit, rim lighting, figure against bright background, profile silhouette, iconic pose","flat, no lighting, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality","Silhouette framing. Great for reveals, posters. Combos: LIGHTING_Volumetric_Rays; ATMOSPHERE_Time_Golden_Hour.","CHARACTER"
"CLOTHES_Apron_Cooking","(cooking apron:1.2), kitchen apron, tied apron, cotton apron, domestic apron","no apron, bare, lab coat","Cooking apron over outfit. Combos: ARCHETYPE_Chef; ACTIVITY_Cooking; SCENE_Bakery. Conflicts: ARCHETYPE_Warrior.","CLOTHES"
"CLOTHES_Blazer_Open","(open blazer:1.2), unbuttoned blazer, blazer over shirt, smart casual blazer, casual jacket open","no blazer, hoodie, armor","Open blazer over casual. Combos: OUTFIT_Business_Suit; ARCHETYPE_Office_Lady; MOOD_Confident.","CLOTHES"
"CLOTHES_Boots_Knee_High","(knee-high boots:1.3), tall boots, over-knee boots, leather boots, lace-up boots, heeled boots","sneakers, sandals, bare feet","Knee-high boots. Combos: ARCHETYPE_Witch; OUTFIT_Gothic; OUTFIT_Lolita_Gothic; ERA_Victorian.","CLOTHES"
"CLOTHES_Boots_Thigh_High","(thigh-high boots:1.3), over-the-knee boots, thigh boots, tall leather boots, stiletto thigh boots","sneakers, short boots, sandals","Thigh-high boots. Combos: OUTFIT_Cyberpunk; ARCHETYPE_Succubus; OUTFIT_Gothic. More statement than knee boots.","CLOTHES"
"CLOTHES_Cardigan","(cardigan:1.2), open front cardigan, knit cardigan, cozy cardigan, oversized cardigan, button-up knit","armor, jacket, hoodie","Soft cardigan over outfit. Combos: ARCHETYPE_Librarian; MOOD_Serene; SCENE_Cafe; ATMOSPHERE_Season_Autumn_Leaves.","CLOTHES"
"CLOTHES_Coat_Trench","(trench coat:1.3), long trench coat, belted coat, detective coat, classic trench","no coat, summer clothes, armor","Classic trench coat. Combos: ARCHETYPE_Detective; STYLE_Film_Noir_Classic; SCENE_City_Street_Night; MOOD_Mysterious.","CLOTHES"
"CLOTHES_Coat_Winter","(winter coat:1.2), long winter coat, wool coat, thick coat, fur-trim coat, heavy coat","summer dress, armor, swimwear","Heavy winter coat. Combos: ATMOSPHERE_Season_Winter_Snow; SCENE_Snowy_Path; MOOD_Melancholic.","CLOTHES"
"CLOTHES_Dress_Casual","(casual dress:1.2), simple day dress, cotton dress, sundress, everyday dress, relaxed summer dress","evening gown, armor, formal","Everyday casual dress. Combos: SCENE_Park_Bench_Autumn; MOOD_Playful; ATMOSPHERE_Season_Spring_Cherry. Universal base.","CLOTHES"
"CLOTHES_Dress_Evening","(evening gown:1.3), long formal dress, floor-length gown, sleek evening dress, slit dress, silk gown","casual, shorts, armor, uniform","Formal evening gown. Combos: SCENE_Ballroom; ACCESSORY_Jewelry_Elegant; MOOD_Elegant; LIGHTING_Spotlight_Single.","CLOTHES"
